苏州-昆山,1-3年,液滴逻辑,统招本科,https://www.liepin.com/job/1940194827.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=28,10-20k,python工程师
南京-栖霞区,1-3年,鼎阳科技,本科及以上,https://www.liepin.com/job/1939030577.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=29,8-14k,python开发工程师
深圳,3-5年,深圳市万邑通信息科技有限公司,统招本科,https://www.liepin.com/job/1938382965.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=30,15-25k·14薪,python开发工程师
上海,经验不限,上海海宇,统招本科,https://www.liepin.com/job/1935396597.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=31,12-30k·13薪,python后端开发工程师
上海-闵行区,1-3年,脉景(杭州)健康管理有限公司,统招本科,https://www.liepin.com/job/1932939775.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=32,12-20k·14薪,python后端开发工程师
上海,5-10年,圆通,本科及以上,https://www.liepin.com/job/1926668843.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=33,15-25k,资深python开发工程师
北京-朝阳区,5-10年,某大型汽车生产公司,学历不限,https://www.liepin.com/a/31437917.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=34,40-70k·15薪,控制规划/定位/感知算法-C++/Python
上海-浦东新区,5-10年,某知名AAA级券商,本科及以上,https://www.liepin.com/a/31288935.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=35,25-50k·15薪,高级Python开发工程师-AAA级券商
上海,经验不限,某知名上市公司,统招本科,https://www.liepin.com/a/31236673.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=36,30-50k·15薪,python开发工程师
上海,3-5年,某知名公司,统招本科,https://www.liepin.com/a/31236223.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=37,17-30k·14薪,Python开发(数据工程方向)
上海-浦东新区,经验不限,某知名券商,统招本科,https://www.liepin.com/a/31182127.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=38,30-50k·15薪,python开发工程师
上海,经验不限,国内知名券商公司,统招本科,https://www.liepin.com/a/31181135.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=39,30-50k·15薪,python开发
